,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
216,TSL-92649-18,12/28/2020 11:55:17,Roderick Flynn,Toronto,1,0,0,0,0,0,No relief,180.0,1595.9445741324917,1525.6,0,5878.25,5.0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,"['L1', 'L2']",0,0.0
217,TSL-92675-18-RV,12/28/2020 12:01:31,Nancy Henderson,Toronto,1,0,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1600.0,0,8000.0,15.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,[],0,0.5
218,TSL-93152-18,12/28/2020 12:09:02,Roger Rodrigues,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,2300.0,2300.0,0,6200.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,[],0,0.0
219,TSL-93197-18,12/28/2020 12:15:45,Renee Lang,Toronto,1,0,0,1,0,0,Postponement of eviction,6.306049004594181,1050.0,1050.0,0,3400.0,8.0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,"['L1', 'L2']",0,0.5
220,TSL-93410-18,12/28/2020 12:21:45,Renee Lang,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1127.19,1126.51,0,1127.19,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
221,CEL-66033-17,1/6/2021 12:27:22,Solange Losier,Mississauga,1,1,1,1,0,0,Postponement of eviction,6.306049004594181,1850.0,1850.0,0,4111.4,4.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,['L2'],0,0.5
222,TSL-93456-18-SA,12/28/2020 17:14:51,Roger Rodrigues,Toronto,1,0,1,1,0,0,Eviction order set aside,36.0,1317.41,1365.9816966067865,0,2393.89,3.0,1,1,0,0,1,-1,1,0,1,0,0,1,1,0,[],0,0.0
223,CEL-66306-17,1/6/2021 12:28:16,Tiisetso Russell,Mississauga,1,1,0,1,0,0,No relief,60.0,1595.9445741324917,1365.9816966067865,0,4235.0,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"['L1', 'L2', 'N8']",0,0.0
224,CEL-66488-17,12/28/2020 13:46:44,Avril Cardoso,Mississauga,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,940.44,0,5240.342916006339,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
225,CEL-66822-17,12/28/2020 13:54:30,Lynn Mitchell,Mississauga,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1324.96,0,1738.66,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,['N8'],1,0.0
